id,user_type_id:id,code,name,reconcile,chart_template_id:id
__export__.account_account_4387,account.data_account_type_expenses,L1248,Perkainuotos dalies nusidėvėjimas(-) (Mašinos),0,l10n_lt_account_chart_template
__export__.account_account_4388,account.data_account_type_expenses,L1249,Vertės sumažėjimas(-) (Mašinos ir įrengimai),0,l10n_lt_account_chart_template
__export__.account_account_4389,account.data_account_type_fixed_assets,L1250,Nebaigtos vykdyti statybų sutartys,0,l10n_lt_account_chart_template
__export__.account_account_4390,account.data_account_type_fixed_assets,L1251,Perkainojimas (Nebaigta statyba),0,l10n_lt_account_chart_template
__export__.account_account_4391,account.data_account_type_current_assets,L1252,Išankst. apmok.už nebaigtą statyti IT,0,l10n_lt_account_chart_template
__export__.account_account_4392,account.data_account_type_expenses,L1259,Vertės sumažėjimas(-) (Nebaigta statyba),0,l10n_lt_account_chart_template
__export__.account_account_4393,account.data_account_type_fixed_assets,L1260,Įsigijimo savikaina (Kitas materialus turtas),0,l10n_lt_account_chart_template
__export__.account_account_4394,account.data_account_type_fixed_assets,L1261,Perkainojimas (Kitas materialus turtas),0,l10n_lt_account_chart_template
__export__.account_account_4395,account.data_account_type_fixed_assets,L1262,Ruošiamas naudoti (Kitas materialus turtas),0,l10n_lt_account_chart_template
__export__.account_account_4396,account.data_account_type_current_assets,L1263,Išankstiniai apmokėjimai (Kitas materialus turtas),0,l10n_lt_account_chart_template
__export__.account_account_4397,account.data_account_type_expenses,L1267,Įsigijimo savikainos nusidėvėjimas(-) (Kitas mat.),0,l10n_lt_account_chart_template
__export__.account_account_4398,account.data_account_type_expenses,L1268,Perkainuotos dalies nusidėvėjimas(-) (Kitas mat.),0,l10n_lt_account_chart_template
__export__.account_account_4399,account.data_account_type_expenses,L1269,Vertės sumažėjimas(-) (Kitas materialus turtas),0,l10n_lt_account_chart_template
__export__.account_account_4400,account.data_account_type_fixed_assets,L1600,Investicijos į dukterines įmones,0,l10n_lt_account_chart_template
__export__.account_account_4401,account.data_account_type_fixed_assets,L1601,Investicijos į asocijuotas įmones,0,l10n_lt_account_chart_template
__export__.account_account_4402,account.data_account_type_expenses,L1609,Vertės sumažėjimas(-) (Investicijos į dukterines įmones),0,l10n_lt_account_chart_template
__export__.account_account_4403,account.data_account_type_current_assets,L1610,Paskolos dukterinėms įmonėms,0,l10n_lt_account_chart_template
__export__.account_account_4404,account.data_account_type_current_assets,L1611,Paskolos asocijuotoms įmonėms,0,l10n_lt_account_chart_template
__export__.account_account_4405,account.data_account_type_expenses,L1619,Abejotinos skolos(-) (Pask. asoc. ir dukter. įmonėms),0,l10n_lt_account_chart_template
__export__.account_account_4406,account.data_account_type_receivable,L1621,Prekybos skolos,1,l10n_lt_account_chart_template
__export__.account_account_4407,account.data_account_type_current_assets,L1622,Išankstiniai apmokėjimai,0,l10n_lt_account_chart_template
__export__.account_account_4408,account.data_account_type_current_assets,L1623,Lizingo (finansinės nuomos) skolininkai,0,l10n_lt_account_chart_template
__export__.account_account_4409,account.data_account_type_current_assets,L1624,Po vienerių metų gautinos sumos,0,l10n_lt_account_chart_template
__export__.account_account_4410,account.data_account_type_expenses,L1629,Abejotinos skolos(-),0,l10n_lt_account_chart_template
__export__.account_account_4411,account.data_account_type_current_assets,L1631,Kitos investicijos,0,l10n_lt_account_chart_template
__export__.account_account_4412,account.data_account_type_fixed_assets,L1632,Ilgalaikės investicijos laikomos iki išpirkimo,0,l10n_lt_account_chart_template
__export__.account_account_4413,account.data_account_type_fixed_assets,L1633,Kitas ilgalaikis finansinis turtas,0,l10n_lt_account_chart_template
__export__.account_account_4414,account.data_account_type_expenses,L1639,Vertės sumažėjimas(-),0,l10n_lt_account_chart_template
__export__.account_account_4415,account.data_account_type_current_assets,L1641,Atidėtojo pelno mokesčio turtas,0,l10n_lt_account_chart_template
__export__.account_account_4416,account.data_account_type_expenses,L1649,Vertės sumažėjimas(-),0,l10n_lt_account_chart_template
__export__.account_account_4417,account.data_account_type_fixed_assets,L20110,Įsigijimo savikaina,0,l10n_lt_account_chart_template
__export__.account_account_4418,account.data_account_type_expenses,L20119,Vertės sumažėjimas(-),0,l10n_lt_account_chart_template
__export__.account_account_4419,account.data_account_type_fixed_assets,L20120,Įsigijimo savikaina,0,l10n_lt_account_chart_template
__export__.account_account_4420,account.data_account_type_expenses,L20129,Vertės sumažėjimas(-),0,l10n_lt_account_chart_template
__export__.account_account_4421,account.data_account_type_fixed_assets,L20130,Įsigijimo savikaina,0,l10n_lt_account_chart_template
__export__.account_account_4422,account.data_account_type_expenses,L20139,Vertės sumažėjimas(-),0,l10n_lt_account_chart_template
__export__.account_account_4423,account.data_account_type_fixed_assets,L20140,Įsigijimo savikaina,0,l10n_lt_account_chart_template
__export__.account_account_4424,account.data_account_type_expenses,L20149,Vertės sumažėjimas(-),0,l10n_lt_account_chart_template
__export__.account_account_4425,account.data_account_type_current_assets,L20180,Skirtumas dėl grąžinimo,0,l10n_lt_account_chart_template
__export__.account_account_4426,account.data_account_type_current_assets,L20190,Trumpalaikis turtas (Įsigijimo savikaina),0,l10n_lt_account_chart_template
__export__.account_account_4427,account.data_account_type_fixed_assets,L20191,Degalai,0,l10n_lt_account_chart_template
__export__.account_account_4428,account.data_account_type_fixed_assets,L20192,Telefono aparatas,0,l10n_lt_account_chart_template
